index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
725,10293,2318,4,8,2293,0
726,10444,2226,6,8,2444,0
727,10289,2136,4,8,2289,0
728,10301,2163,5,8,2301,0
729,10778,2248,6,8,2778,0
730,10616,2307,4,8,2616,0
731,10471,2231,4,8,2471,0
732,10684,2259,5,8,2684,0
733,10944,2323,6,8,2944,0
734,15728,2228,9,13,2728,0
735,10429,2216,4,8,2429,0
736,10615,2303,5,8,2615,0
737,10531,2224,5,8,2531,0
738,10693,2295,5,8,2693,0
739,10769,2263,5,8,2769,0
740,10466,2203,5,8,2466,0
741,10938,2347,6,8,2938,0
742,11023,2270,6,8,3023,0
743,10811,2321,6,8,2811,0
744,10898,2279,6,8,2898,0
745,10895,2437,6,8,2895,0
746,10958,2337,6,8,2958,0
747,10849,2208,6,8,2849,0
748,10700,2304,5,8,2700,0
749,10730,2306,5,8,2730,0
750,10700,2218,6,8,2700,0
751,10748,2435,5,8,2748,0
752,10579,2359,5,8,2579,0
753,10474,2241,5,8,2474,0
754,10726,2256,6,8,2726,0
755,10851,2258,5,8,2851,0
756,10784,2198,6,8,2784,0
757,10519,2273,5,8,2519,0
758,10648,2267,5,8,2648,0
759,10747,2211,6,8,2747,0
760,10836,2352,5,8,2836,0
761,10647,2294,5,8,2647,0
762,10558,2231,4,8,2558,0
763,10848,2247,6,8,2848,0
764,10851,2219,6,8,2851,0
765,10408,2312,4,8,2408,0
766,10582,2285,5,8,2582,0
767,10536,2191,5,8,2536,0
768,10702,2318,6,8,2702,0
769,10533,2162,5,8,2533,0
770,10831,2297,5,8,2831,0
771,10664,2253,5,8,2664,0
772,10695,2237,5,8,2695,0
773,10585,2283,4,8,2585,0
774,10664,2282,5,8,2664,0
775,10510,2185,5,8,2510,0
776,10588,2223,5,8,2588,0
777,10532,2225,5,8,2532,0
778,10823,2241,5,8,2823,0
779,10919,2413,5,8,2919,0
780,10653,2312,5,8,2653,0
781,10676,2280,6,8,2676,0
782,10595,2236,5,8,2595,0
783,11334,2302,6,8,3334,0
784,17030,2265,11,14,3030,0
785,10630,2285,5,8,2630,0
786,10555,2246,5,8,2555,0
787,10630,2224,6,8,2630,0
788,10465,2135,6,8,2465,0
789,10606,2249,6,8,2606,0
790,10505,2223,5,8,2505,0
791,10891,2259,6,8,2891,0
792,10757,2197,6,8,2757,0
793,11163,2346,6,8,3163,0
794,11267,2354,6,8,3267,0
795,11355,2589,6,9,2355,0
796,11130,2374,5,8,3130,0
797,11059,2350,6,8,3059,0
798,11165,2414,6,8,3165,0
799,11213,2360,6,8,3213,0
800,10907,2319,5,8,2907,0
801,11176,2353,6,8,3176,0
