index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
862,94658,35090,40,92,2658,15
863,44648,2631,37,42,2648,1
864,79215,33799,37,76,3215,4
865,47204,2632,37,44,3204,3
866,45789,2680,37,43,2789,2
867,77707,33785,6,43,34707,3
868,46788,2577,37,44,2788,3
869,45700,2523,37,43,2700,2
870,45769,2267,37,43,2769,3
871,78528,33663,37,75,3528,4
872,45253,2627,37,42,3253,2
873,77776,2436,37,44,33776,3
874,46351,2448,37,43,3351,3
875,45044,2367,37,42,3044,2
876,78473,33802,6,44,34473,3
877,46759,2493,37,44,2759,3
878,46220,2579,37,43,3220,2
879,45665,2386,37,43,2665,3
880,82526,33490,37,74,8526,3
881,71122,37492,20,68,3122,9
882,53953,32461,15,51,2953,2
883,70159,2365,19,36,34159,13
884,45455,3868,24,43,2455,13
885,48093,33545,8,45,3093,2
886,30390,2524,12,27,3390,12
887,30222,2476,13,27,3222,11
888,15416,2359,6,13,2416,3
889,16159,2514,6,13,3159,4
890,31037,2555,10,28,3037,15
891,16078,2378,6,13,3078,4
892,31192,2402,10,28,3192,14
893,15945,2438,8,13,2945,1
894,16008,4224,6,12,4008,2
895,15102,2457,6,12,3102,3
896,32004,2480,12,29,3004,13
897,15099,2599,6,12,3099,3
898,31827,2635,11,29,2827,14
899,31445,2493,17,28,3445,8
900,29246,2442,10,26,3246,13
901,31197,2382,14,28,3197,11
902,26848,2555,17,23,3848,3
